Cell line primary name,Site Primary,Cell line aliases,Gender,Histology,Source
Calu-3,lung,,M,carcinoma,ATCC
Calu-6,lung,,F,carcinoma,ATCC
CAMA-1,breast,,F,carcinoma,ATCC
Caov-3,ovary,,F,carcinoma,ATCC
Caov-4,ovary,,F,carcinoma,ATCC
Capan-1,pancreas,,M,carcinoma,ATCC
Capan-2,pancreas,,M,carcinoma,ATCC
CAS-1,central_nervous_system,,M,glioma,ICLC
CCF-STTG1,central_nervous_system,,F,glioma,ATCC
CFPAC-1,pancreas,,M,carcinoma,ATCC
CGTH-W-1,thyroid,,F,carcinoma,DSMZ
ChaGo-K-1,lung,,M,carcinoma,ECACC
CHP-126,autonomic_ganglia,,F,neuroblastoma,DSMZ
CI-1,haematopoietic_and_lymphoid_tissue,,F,lymphoid_neoplasm,DSMZ
CL-14,large_intestine,,M,carcinoma,DSMZ
CL-34,large_intestine,,F,carcinoma,DSMZ
CL-40,large_intestine,,F,carcinoma,DSMZ
CML-T1,haematopoietic_and_lymphoid_tissue,,F,haematopoietic_neoplasm,DSMZ
COLO 201,large_intestine,,M,carcinoma,ATCC
COLO 205,large_intestine,,M,carcinoma,ATCC
COLO-320,large_intestine,COLO-320-HSR,F,carcinoma,DSMZ
COLO 668,lung,,F,carcinoma,ECACC
COLO-677,haematopoietic_and_lymphoid_tissue,,M,lymphoid_neoplasm,DSMZ
COLO-678,large_intestine,,M,carcinoma,DSMZ
COLO-679,skin,,F,malignant_melanoma,DSMZ
COLO-680N,oesophagus,,F,carcinoma,DSMZ
COLO 684,endometrium,,F,carcinoma,ECACC
COLO-704,ovary,,F,carcinoma,DSMZ
COLO 741,skin,,F,malignant_melanoma,ECACC
COLO 775,haematopoietic_and_lymphoid_tissue,,M,haematopoietic_neoplasm,ECACC
COLO-783,skin,,F,malignant_melanoma,DSMZ
COLO 792,skin,,M,malignant_melanoma,ECACC
COLO 829,skin,,M,malignant_melanoma,ATCC
COLO-849,skin,,M,malignant_melanoma,DSMZ
COR-L105,lung,,M,carcinoma,ECACC
COR-L23,lung,,M,carcinoma,ECACC
COR-L24,lung,,M,carcinoma,ECACC
COR-L279,lung,,M,carcinoma,ECACC
COR-L311,lung,,M,carcinoma,ECACC
COR-L47,lung,,M,carcinoma,ECACC
COR-L51,lung,,M,carcinoma,ECACC
COR-L88,lung,,M,carcinoma,ECACC
COR-L95,lung,,M,carcinoma,ECACC
COV318,ovary,,F,carcinoma,ECACC
COV362,ovary,,F,carcinoma,ECACC
COV434,ovary,,F,sex_cord-stromal_tumour,ECACC
COV504,ovary,,F,carcinoma,ECACC
COV644,ovary,,F,carcinoma,ECACC
D283 Med,central_nervous_system,,M,primitive_neuroectodermal_tumour-medulloblastoma,ATCC
D341 Med,central_nervous_system,,M,primitive_neuroectodermal_tumour-medulloblastoma,ATCC
Daoy,central_nervous_system,,M,primitive_neuroectodermal_tumour-medulloblastoma,ATCC
Daudi,haematopoietic_and_lymphoid_tissue,,M,lymphoid_neoplasm,ATCC
DB,haematopoietic_and_lymphoid_tissue,,M,lymphoid_neoplasm,ATCC
DBTRG-05MG,central_nervous_system,,F,glioma,ATCC
DEL,haematopoietic_and_lymphoid_tissue,,M,lymphoid_neoplasm,DSMZ
Detroit 562,upper_aerodigestive_tract,,F,carcinoma,ATCC
DK-MG,central_nervous_system,,F,glioma,DSMZ
DLD-1,large_intestine,,M,carcinoma,ATCC
DM-3,pleura,,M,mesothelioma,DSMZ
DMS 114,lung,,M,carcinoma,ATCC
DMS 153,lung,,M,carcinoma,ATCC
DMS 273,lung,,F,carcinoma,ECACC
DMS 454,lung,,M,carcinoma,ECACC
DMS 53,lung,,M,carcinoma,ATCC
DND-41,haematopoietic_and_lymphoid_tissue,,M,lymphoid_neoplasm,DSMZ
DOHH-2,haematopoietic_and_lymphoid_tissue,,M,lymphoid_neoplasm,DSMZ
DU 145,prostate,,M,carcinoma,ATCC
DU4475,breast,,F,carcinoma,ATCC
DV-90,lung,,M,carcinoma,DSMZ
EB1,haematopoietic_and_lymphoid_tissue,,F,lymphoid_neoplasm,ATCC
EB2,haematopoietic_and_lymphoid_tissue,,F,lymphoid_neoplasm,ATCC
EBC-1,lung,,M,carcinoma,RIKEN
EFE-184,endometrium,,F,carcinoma,DSMZ
EFM-19,breast,,F,carcinoma,DSMZ
EFM-192A,breast,,F,carcinoma,DSMZ
EFO-21,ovary,,F,carcinoma,DSMZ
EFO-27,ovary,,F,carcinoma,DSMZ
EHEB,haematopoietic_and_lymphoid_tissue,,F,lymphoid_neoplasm,DSMZ
EJM,haematopoietic_and_lymphoid_tissue,,F,lymphoid_neoplasm,DSMZ
EM-2,haematopoietic_and_lymphoid_tissue,,F,haematopoietic_neoplasm,DSMZ
EN,endometrium,,F,carcinoma,DSMZ
EOL-1,haematopoietic_and_lymphoid_tissue,,M,haematopoietic_neoplasm,DSMZ
EPLC-272H,lung,,M,carcinoma,DSMZ
ES-2,ovary,,F,carcinoma,ATCC
ESS-1,endometrium,,F,carcinoma,DSMZ
EVSA-T,breast,,F,carcinoma,DSMZ
F-36P,haematopoietic_and_lymphoid_tissue,,M,haematopoietic_neoplasm,DSMZ
FaDu,upper_aerodigestive_tract,,M,carcinoma,ATCC
FTC-133,thyroid,,M,carcinoma,ECACC
FTC-238,thyroid,,M,carcinoma,ECACC
FU97,stomach,,F,carcinoma,HSRRB
FU-OV-1,ovary,,F,carcinoma,DSMZ
"G-292, clone A141B1",bone,,F,osteosarcoma,ATCC
G-361,skin,,M,malignant_melanoma,ATCC
G-401,soft_tissue,,M,rhabdoid_tumour,ATCC
G-402,soft_tissue,,F,rhabdoid_tumour,ATCC
GA-10,haematopoietic_and_lymphoid_tissue,,M,lymphoid_neoplasm,ATCC
GAMG,central_nervous_system,,F,glioma,DSMZ
GB-1,central_nervous_system,,M,glioma,HSRRB
GCIY,stomach,,F,carcinoma,RIKEN
GCT,soft_tissue,,M,malignant_fibrous_histiocytoma-pleomorphic_sarcoma,ATCC
GDM-1,haematopoietic_and_lymphoid_tissue,,F,haematopoietic_neoplasm,ATCC
GI-1,central_nervous_system,,M,glioma,RIKEN
GMS-10,central_nervous_system,,M,glioma,DSMZ
GOS-3,central_nervous_system,,M,glioma,DSMZ
GP2d,large_intestine,,F,carcinoma,ECACC
GRANTA-519,haematopoietic_and_lymphoid_tissue,,F,lymphoid_neoplasm,DSMZ
GR-M,skin,,M,malignant_melanoma,ECACC
H4,central_nervous_system,,M,glioma,ATCC
HARA,lung,,M,carcinoma,HSRRB
HCC1143,breast,,F,carcinoma,ATCC
HCC-1171,lung,,M,carcinoma,KCLB
HCC1187,breast,,F,carcinoma,ATCC
HCC-1195,lung,,M,carcinoma,KCLB
HCC-1359,lung,,F,carcinoma,KCLB
HCC1395,breast,,F,carcinoma,ATCC
HCC1419,breast,,F,carcinoma,ATCC
HCC1428,breast,,F,carcinoma,ATCC
HCC-1438,lung,,M,carcinoma,KCLB
HCC-15,lung,,M,carcinoma,DSMZ
HCC1500,breast,,F,carcinoma,ATCC
HCC1569,breast,,F,carcinoma,ATCC
HCC-1588,lung,,F,carcinoma,KCLB
HCC1599,breast,,F,carcinoma,ATCC
HCC1806,breast,,F,carcinoma,ATCC
HCC1937,breast,,F,carcinoma,ATCC
HCC1954,breast,,F,carcinoma,ATCC
HCC202,breast,,F,carcinoma,ATCC
HCC-2108,lung,,M,carcinoma,KCLB
HCC2157,breast,,F,carcinoma,ATCC
HCC2218,breast,,F,carcinoma,ATCC
HCC-2279,lung,,F,carcinoma,KCLB
HCC2935,lung,,M,carcinoma,ATCC
HCC-33,lung,,M,carcinoma,DSMZ
HCC-366,lung,,F,carcinoma,DSMZ
HCC38,breast,,F,carcinoma,ATCC
HCC4006,lung,,M,carcinoma,ATCC
HCC-44,lung,,F,carcinoma,DSMZ
HCC70,breast,,F,carcinoma,ATCC
HCC-78,lung,,M,carcinoma,DSMZ
HCC827,lung,,F,carcinoma,ATCC
HCC-95,lung,,M,carcinoma,KCLB
HCT 116,large_intestine,,M,carcinoma,ATCC
HCT-15,large_intestine,,M,carcinoma,ATCC
HCT-8,large_intestine,,M,carcinoma,KCLB
HDLM-2,haematopoietic_and_lymphoid_tissue,,M,lymphoid_neoplasm,DSMZ
HDQ-P1,breast,,F,carcinoma,DSMZ
HEC-108,endometrium,,F,carcinoma,HSRRB
HEC-151,endometrium,,F,carcinoma,HSRRB
HEC-1-A,endometrium,,F,carcinoma,ATCC
HEC-1-B,endometrium,,F,carcinoma,ATCC
HEC-251,endometrium,,F,carcinoma,HSRRB
HEC-265,endometrium,,F,carcinoma,HSRRB
HEC-50B,endometrium,,F,carcinoma,HSRRB
HEC-59,endometrium,,F,carcinoma,HSRRB
HEC-6,endometrium,,F,carcinoma,HSRRB
HEL,haematopoietic_and_lymphoid_tissue,,M,haematopoietic_neoplasm,DSMZ
HEL 92.1.7,haematopoietic_and_lymphoid_tissue,,M,haematopoietic_neoplasm,ATCC
Hep 3B2.1-7,liver,HEP-3B | Hep 3B,M,carcinoma,ATCC
Hep G2,liver,,M,carcinoma,ATCC
Hey-A8,ovary,,F,carcinoma,Academic Lab
HH,haematopoietic_and_lymphoid_tissue,,M,lymphoid_neoplasm,ATCC
HL-60,haematopoietic_and_lymphoid_tissue,,F,haematopoietic_neoplasm,ATCC
HLE,liver,,M,carcinoma,HSRRB
HLF,liver,,M,carcinoma,HSRRB
HLF-a,lung,,F,carcinoma,ATCC
HMC-1-8,breast,,F,carcinoma,HSRRB
HN,upper_aerodigestive_tract,,M,carcinoma,DSMZ
HOS,bone,,F,osteosarcoma,ATCC
HPAC,pancreas,,F,carcinoma,ATCC
HPAF-II,pancreas,,M,carcinoma,ATCC
HPB-ALL,haematopoietic_and_lymphoid_tissue,,M,lymphoid_neoplasm,DSMZ
HRT-18,large_intestine,,M,carcinoma,ECACC
Hs 172.T,urinary_tract,,M,carcinoma,ATCC
Hs 229.T,lung,,M,carcinoma,ATCC
Hs 255.T,large_intestine,,F,carcinoma,ATCC
Hs 274.T,breast,,F,carcinoma,ATCC
Hs 281.T,breast,,F,carcinoma,ATCC
Hs 294T,skin,,M,malignant_melanoma,ATCC
Hs 343.T,breast,,F,carcinoma,ATCC
Hs 571.T,ovary,,F,carcinoma,ATCC
Hs 578T,breast,,F,carcinoma,ATCC
Hs 604.T,haematopoietic_and_lymphoid_tissue,,M,lymphoid_neoplasm,ATCC
Hs 606.T,breast,,F,carcinoma,ATCC
Hs 611.T,haematopoietic_and_lymphoid_tissue,,F,lymphoid_neoplasm,ATCC
Hs 616.T,haematopoietic_and_lymphoid_tissue,,M,lymphoid_neoplasm,ATCC
Hs 618.T,lung,,F,carcinoma,ATCC
Hs 675.T,large_intestine,,M,carcinoma,ATCC
Hs 683,central_nervous_system,,M,glioma,ATCC
Hs 688(A).T,skin,,M,malignant_melanoma,ATCC
Hs 695T,skin,,M,malignant_melanoma,ATCC
Hs 698.T,large_intestine,,M,carcinoma,ATCC
Hs 706.T,bone,,F,giant_cell_tumour,ATCC
Hs 729,soft_tissue,,M,rhabdomyosarcoma,ATCC
Hs 737.T,bone,,F,other,ATCC
Hs 739.T,breast,,F,carcinoma,ATCC
Hs 742.T,breast,,F,carcinoma,ATCC
Hs 746T,stomach,,M,carcinoma,ATCC
Hs 766T,pancreas,,M,carcinoma,ATCC
Hs 819.T,bone,,M,chondrosarcoma,ATCC
Hs 821.T,bone,,F,giant_cell_tumour,ATCC
Hs 822.T,bone,,F,Ewings_sarcoma-peripheral_primitive_neuroectodermal_tumour,ATCC
Hs 834.T,skin,,F,malignant_melanoma,ATCC
Hs 839.T,skin,,F,malignant_melanoma,ATCC
Hs 840.T,upper_aerodigestive_tract,,M,other,ATCC
Hs 852.T,skin,,M,malignant_melanoma,ATCC
Hs 863.T,bone,,F,Ewings_sarcoma-peripheral_primitive_neuroectodermal_tumour,ATCC
Hs 888.T,bone,,M,osteosarcoma,ATCC
Hs 895.T,skin,,F,malignant_melanoma,ATCC
Hs 934.T,skin,,F,malignant_melanoma,ATCC
Hs 936.T,skin,,M,malignant_melanoma,ATCC
Hs 939.T,skin,,F,malignant_melanoma,ATCC
Hs 940.T,skin,,M,malignant_melanoma,ATCC
Hs 944.T,skin,,M,malignant_melanoma,ATCC
HSC-2,upper_aerodigestive_tract,,M,carcinoma,HSRRB
HSC-3,upper_aerodigestive_tract,,M,carcinoma,HSRRB
HSC-4,upper_aerodigestive_tract,,M,carcinoma,HSRRB
HT,haematopoietic_and_lymphoid_tissue,,M,lymphoid_neoplasm,ATCC
HT-1080,soft_tissue,,M,fibrosarcoma,ATCC
HT-1197,urinary_tract,,M,carcinoma,ATCC
HT-1376,urinary_tract,,F,carcinoma,ATCC
HT-144,skin,,M,malignant_melanoma,ATCC
HT-29,large_intestine,,F,carcinoma,ATCC
HTK-,haematopoietic_and_lymphoid_tissue,,F,lymphoid_neoplasm,ECACC
HuCCT1,biliary_tract,,M,carcinoma,HSRRB
HuG1-N,stomach,,M,carcinoma,RIKEN
huH-1,liver,,M,carcinoma,HSRRB
HuH-7,liver,,M,carcinoma,HSRRB
HuNS1,haematopoietic_and_lymphoid_tissue,,M,lymphoid_neoplasm,ATCC
HUP-T3,pancreas,,M,carcinoma,DSMZ
HUP-T4,pancreas,,M,carcinoma,DSMZ
HuT 102,haematopoietic_and_lymphoid_tissue,,M,lymphoid_neoplasm,ATCC
HuT 78,haematopoietic_and_lymphoid_tissue,,M,lymphoid_neoplasm,ATCC
IA-LM,lung,,M,carcinoma,RIKEN
IGR-1,skin,,M,malignant_melanoma,DSMZ
IGR-37,skin,,M,malignant_melanoma,DSMZ
IGR-39,skin,,M,malignant_melanoma,DSMZ
IGROV1,ovary,,F,carcinoma,NCI/DCTD
IM95,stomach,,M,carcinoma,HSRRB
IMR-32,autonomic_ganglia,,M,neuroblastoma,ATCC
IPC-298,skin,,F,malignant_melanoma,DSMZ
Ishikawa (Heraklio) 02 ER-,endometrium,,F,carcinoma,ECACC
IST-MES1,pleura,,F,mesothelioma,ICLC
IST-MES2,pleura,,M,mesothelioma,ICLC
J82,urinary_tract,,M,carcinoma,ATCC
JeKo-1,haematopoietic_and_lymphoid_tissue,,F,lymphoid_neoplasm,DSMZ
JHH-1,liver,,M,carcinoma,HSRRB
JHH-2,liver,,M,carcinoma,HSRRB
JHH-4,liver,,M,carcinoma,HSRRB
JHH-5,liver,,M,carcinoma,HSRRB
JHH-6,liver,,F,carcinoma,HSRRB
JHH-7,liver,,M,carcinoma,HSRRB
JHOS-2,ovary,,F,carcinoma,RIKEN
JHOS-4,ovary,,F,carcinoma,RIKEN
JHUEM-1,endometrium,,F,carcinoma,RIKEN
JHUEM-2,endometrium,,F,carcinoma,RIKEN
JHUEM-7,endometrium,,F,carcinoma,RIKEN
JIMT-1,breast,,F,carcinoma,DSMZ
JJN-3,haematopoietic_and_lymphoid_tissue,,F,lymphoid_neoplasm,DSMZ
JK-1,haematopoietic_and_lymphoid_tissue,,M,haematopoietic_neoplasm,DSMZ
JL-1,pleura,,M,mesothelioma,DSMZ
JMSU-1,urinary_tract,,M,carcinoma,DSMZ
JURKAT,haematopoietic_and_lymphoid_tissue,,M,lymphoid_neoplasm,DSMZ
JURL-MK1,haematopoietic_and_lymphoid_tissue,,M,haematopoietic_neoplasm,DSMZ
JVM-2,haematopoietic_and_lymphoid_tissue,,F,lymphoid_neoplasm,DSMZ
JVM-3,haematopoietic_and_lymphoid_tissue,,M,lymphoid_neoplasm,DSMZ
K-562,haematopoietic_and_lymphoid_tissue,,F,haematopoietic_neoplasm,ATCC
KALS-1,central_nervous_system,,F,glioma,HSRRB
KARPAS-299,haematopoietic_and_lymphoid_tissue,,M,lymphoid_neoplasm,DSMZ
KARPAS-620,haematopoietic_and_lymphoid_tissue,,F,lymphoid_neoplasm,DSMZ
KASUMI-1,haematopoietic_and_lymphoid_tissue,,M,haematopoietic_neoplasm,DSMZ
KASUMI-2,haematopoietic_and_lymphoid_tissue,,M,lymphoid_neoplasm,DSMZ
Kasumi-6,haematopoietic_and_lymphoid_tissue,,M,haematopoietic_neoplasm,ATCC
KATO III,stomach,,M,carcinoma,ATCC
KCI-MOH1,pancreas,,F,carcinoma,DSMZ
KCL-22,haematopoietic_and_lymphoid_tissue,,F,haematopoietic_neoplasm,DSMZ
KE-37,haematopoietic_and_lymphoid_tissue,,M,lymphoid_neoplasm,DSMZ
KE-39,stomach,,M,carcinoma,RIKEN
KE-97,haematopoietic_and_lymphoid_tissue,,M,lymphoid_neoplasm,RIKEN
KG-1,haematopoietic_and_lymphoid_tissue,,M,haematopoietic_neoplasm,ATCC
KG-1-C,central_nervous_system,,M,glioma,HSRRB
KHM-1B,haematopoietic_and_lymphoid_tissue,,M,lymphoid_neoplasm,HSRRB
Ki-JK,haematopoietic_and_lymphoid_tissue,,M,lymphoid_neoplasm,HSRRB
KLE,endometrium,,F,carcinoma,ATCC
KM-H2,haematopoietic_and_lymphoid_tissue,,M,lymphoid_neoplasm,DSMZ
KMM-1,haematopoietic_and_lymphoid_tissue,,M,lymphoid_neoplasm,HSRRB
KMRC-1,kidney,,M,carcinoma,HSRRB
KMRC-2,kidney,,M,carcinoma,HSRRB
KMS-11,haematopoietic_and_lymphoid_tissue,,F,lymphoid_neoplasm,HSRRB
KMS-12-BM,haematopoietic_and_lymphoid_tissue,,F,lymphoid_neoplasm,DSMZ
KMS-18,haematopoietic_and_lymphoid_tissue,,M,lymphoid_neoplasm,
KMS-20,haematopoietic_and_lymphoid_tissue,,F,lymphoid_neoplasm,HSRRB
KMS-21BM,haematopoietic_and_lymphoid_tissue,,M,lymphoid_neoplasm,HSRRB
KMS-26,haematopoietic_and_lymphoid_tissue,,M,lymphoid_neoplasm,HSRRB
KMS-27,haematopoietic_and_lymphoid_tissue,,M,lymphoid_neoplasm,HSRRB
KMS-28BM,haematopoietic_and_lymphoid_tissue,,F,lymphoid_neoplasm,HSRRB
KMS-34,haematopoietic_and_lymphoid_tissue,,F,lymphoid_neoplasm,HSRRB
KNS-42,central_nervous_system,,M,glioma,HSRRB
KNS-60,central_nervous_system,,M,glioma,HSRRB
KNS-62,lung,,M,carcinoma,HSRRB
KNS-81,central_nervous_system,,M,glioma,HSRRB
KO52,haematopoietic_and_lymphoid_tissue,K052,M,haematopoietic_neoplasm,HSRRB
KOPN-8,haematopoietic_and_lymphoid_tissue,,F,lymphoid_neoplasm,DSMZ
KP-2,pancreas,,F,carcinoma,HSRRB
KP4,pancreas,,M,carcinoma,RIKEN
KPL-1,breast,,F,carcinoma,DSMZ
KP-N-SI9s,autonomic_ganglia,KP-N-S19s,M,neuroblastoma,HSRRB
KS-1,central_nervous_system,,F,glioma,HSRRB
KU-19-19,urinary_tract,,M,carcinoma,DSMZ
KU812,haematopoietic_and_lymphoid_tissue,,M,haematopoietic_neoplasm,ATCC
KURAMOCHI,ovary,,F,carcinoma,HSRRB
KYO-1,haematopoietic_and_lymphoid_tissue,,M,haematopoietic_neoplasm,DSMZ
KYSE-140,oesophagus,,M,carcinoma,DSMZ
KYSE-150,oesophagus,,F,carcinoma,DSMZ
KYSE-180,oesophagus,,M,carcinoma,DSMZ
KYSE-270,oesophagus,,M,carcinoma,DSMZ
KYSE-30,oesophagus,,M,carcinoma,DSMZ
KYSE-410,oesophagus,,M,carcinoma,DSMZ
KYSE-450,oesophagus,,M,carcinoma,DSMZ
KYSE-510,oesophagus,,F,carcinoma,DSMZ
KYSE-520,oesophagus,,F,carcinoma,DSMZ
KYSE-70,oesophagus,,M,carcinoma,DSMZ
L-1236,haematopoietic_and_lymphoid_tissue,,M,lymphoid_neoplasm,DSMZ
L-363,haematopoietic_and_lymphoid_tissue,,F,lymphoid_neoplasm,DSMZ
L-428,haematopoietic_and_lymphoid_tissue,,F,lymphoid_neoplasm,DSMZ
L-540,haematopoietic_and_lymphoid_tissue,,F,lymphoid_neoplasm,DSMZ
LAMA-84,haematopoietic_and_lymphoid_tissue,,F,haematopoietic_neoplasm,DSMZ
LC-1F,lung,,M,carcinoma,RIKEN
LC-1/sq-SF,lung,LC-1 sq,M,carcinoma,RIKEN
LCLC-103H,lung,,M,carcinoma,DSMZ
LCLC-97TM1,lung,,M,carcinoma,DSMZ
LK-2,lung,,M,carcinoma,RIKEN
LN-18,central_nervous_system,,M,glioma,ATCC
LN-229,central_nervous_system,,F,glioma,ATCC
LNCaP clone FGC,prostate,LNCap.FGC,M,carcinoma,ATCC
Loucy,haematopoietic_and_lymphoid_tissue,,F,lymphoid_neoplasm,ATCC
LOU-NH91,lung,,F,carcinoma,DSMZ
LoVo,large_intestine,,M,carcinoma,ATCC
LP-1,haematopoietic_and_lymphoid_tissue,,F,lymphoid_neoplasm,DSMZ
LS1034,large_intestine,,M,carcinoma,ATCC
LS123,large_intestine,,F,carcinoma,ATCC
LS 180,large_intestine,,F,carcinoma,ATCC
LS411N,large_intestine,,M,carcinoma,ATCC
LS513,large_intestine,,M,carcinoma,ATCC
LU65,lung,,M,carcinoma,HSRRB
LU99,lung,LU99A,M,carcinoma,HSRRB
LUDLU-1,lung,,M,carcinoma,ECACC
LXF-289,lung,,M,carcinoma,DSMZ
M059K,central_nervous_system,,M,glioma,ATCC
M-07e,haematopoietic_and_lymphoid_tissue,MO7e,F,haematopoietic_neoplasm,DSMZ
Malme-3M,skin,,M,malignant_melanoma,ATCC
MB 157,breast,,F,carcinoma,ATCC
MC116,haematopoietic_and_lymphoid_tissue,,M,lymphoid_neoplasm,ATCC
MCAS,ovary,,F,carcinoma,HSRRB
MCF7,breast,,F,carcinoma,ATCC
MDA-MB-134-VI,breast,,F,carcinoma,ATCC
MDA-MB-157,breast,MB 157,F,carcinoma,ATCC
MDA-MB-175-VII,breast,,F,carcinoma,ATCC
MDA-MB-231,breast,,F,carcinoma,ATCC
MDA-MB-361,breast,,F,carcinoma,ATCC
MDA-MB-415,breast,,F,carcinoma,ATCC
MDA-MB-435S,skin,,F,malignant_melanoma,ATCC
MDA-MB-436,breast,,F,carcinoma,ATCC
MDA-MB-453,breast,,F,carcinoma,ATCC
MDA-MB-468,breast,,F,carcinoma,ATCC
MDA PCa 2b,prostate,,M,carcinoma,ATCC
ME-1,haematopoietic_and_lymphoid_tissue,,M,haematopoietic_neoplasm,DSMZ
MEC-1,haematopoietic_and_lymphoid_tissue,,M,lymphoid_neoplasm,DSMZ
MEC-2,haematopoietic_and_lymphoid_tissue,,M,lymphoid_neoplasm,DSMZ
MEG-01,haematopoietic_and_lymphoid_tissue,,M,haematopoietic_neoplasm,ATCC
MEL-HO,skin,,F,malignant_melanoma,DSMZ
MEL-JUSO,skin,,F,malignant_melanoma,DSMZ
MES-SA,soft_tissue,,F,sarcoma,ATCC
MeWo,skin,,M,malignant_melanoma,ATCC
MFE-280,endometrium,,F,carcinoma,DSMZ
MFE-296,endometrium,,F,carcinoma,DSMZ
MFE-319,endometrium,,F,carcinoma,DSMZ
MG-63,bone,,M,osteosarcoma,ATCC
MHH-CALL-2,haematopoietic_and_lymphoid_tissue,,F,lymphoid_neoplasm,DSMZ
